id,state,awarded_at,defer_date,withdraw_date
105616,withdrawn,,,08/04/2022
104550,withdrawn,,,15/09/2022
88606,withdrawn,,,15/09/2022
104614,withdrawn,,,20/07/2022
103782,withdrawn,,,20/07/2022
104440,withdrawn,,,20/07/2022
104318,withdrawn,,,20/07/2022
104314,withdrawn,,,20/07/2022
68553,withdrawn,,,29/04/2022
68896,withdrawn,,,22/04/2022
68629,withdrawn,,,31/01/2022
68768,withdrawn,,,31/01/2022
90276,withdrawn,,,13/06/2022
106126,withdrawn,,,23/05/2022
106148,withdrawn,,,31/05/2022
83113,withdrawn,,,31/08/2022
83034,withdrawn,,,31/08/2022
105120,withdrawn,,,27/05/2022
105183,withdrawn,,,27/05/2022
105099,withdrawn,,,27/05/2022
68561,withdrawn,,,04/02/2022
104698,withdrawn,,,20/07/2022
104730,withdrawn,,,15/06/2022
106974,withdrawn,,,19/07/2022
106980,withdrawn,,,19/07/2022
106467,withdrawn,,,28/10/2021
106416,withdrawn,,,08/08/2022
91254,withdrawn,,,19/07/2022
91258,withdrawn,,,19/07/2022
107009,withdrawn,,,24/01/2022
91545,withdrawn,,,27/04/2022
107236,withdrawn,,,30/08/2022
107455,withdrawn,,,30/08/2022
107465,withdrawn,,,31/08/2022
107565,withdrawn,,,31/08/2022
104216,withdrawn,,,20/07/2022
107639,withdrawn,,,22/08/2022
72156,withdrawn,,,26/07/2022
72155,withdrawn,,,26/07/2022
107627,withdrawn,,,31/08/2022
107667,withdrawn,,,22/08/2022
83479,withdrawn,,,07/07/2022
83350,withdrawn,,,07/07/2022
83507,withdrawn,,,07/07/2022
83466,withdrawn,,,26/04/2022
85247,withdrawn,,,12/07/2022
85318,withdrawn,,,12/07/2022
83878,withdrawn,,,19/07/2022
85214,withdrawn,,,08/07/2022
83904,withdrawn,,,19/07/2022
83830,withdrawn,,,19/07/2022
85368,withdrawn,,,12/07/2022
83970,withdrawn,,,19/07/2022
83828,withdrawn,,,19/07/2022
83857,withdrawn,,,19/07/2022
83858,withdrawn,,,19/07/2022
83979,withdrawn,,,19/07/2022
85132,withdrawn,,,12/07/2022
83785,withdrawn,,,19/07/2022
83859,withdrawn,,,19/07/2022
83831,withdrawn,,,19/07/2022
109502,withdrawn,,,30/08/2022
83912,withdrawn,,,19/07/2022
85254,withdrawn,,,12/07/2022
83824,withdrawn,,,19/07/2022
83973,withdrawn,,,19/07/2022
83901,withdrawn,,,19/07/2022
83959,withdrawn,,,19/07/2022
83972,withdrawn,,,19/07/2022
83918,withdrawn,,,19/07/2022
83939,withdrawn,,,19/07/2022
83931,withdrawn,,,06/09/2022
83873,withdrawn,,,19/07/2022
84100,withdrawn,,,21/07/2022
83791,withdrawn,,,19/07/2022
68748,withdrawn,,,29/04/2022
85155,withdrawn,,,08/07/2022
108674,withdrawn,,,30/08/2022
68688,withdrawn,,,01/08/2022
83593,withdrawn,,,29/07/2022
68720,withdrawn,,,07/02/2022
84357,withdrawn,,,21/07/2022
68645,withdrawn,,,15/03/2022
84381,withdrawn,,,21/07/2022
84174,withdrawn,,,21/07/2022
68881,withdrawn,,,01/08/2022
68717,withdrawn,,,01/07/2022
83786,withdrawn,,,19/07/2022
83686,withdrawn,,,29/07/2022
84370,withdrawn,,,21/07/2022
83619,withdrawn,,,22/06/2022
83872,withdrawn,,,19/07/2022
83771,withdrawn,,,26/08/2022
84519,withdrawn,,,30/07/2022
84633,withdrawn,,,15/03/2022
70842,withdrawn,,,12/07/2022
74160,withdrawn,,,28/09/2022
74332,withdrawn,,,30/07/2022
74581,withdrawn,,,21/10/2022
77865,withdrawn,,,30/08/2022
74880,withdrawn,,,21/10/2022
74225,withdrawn,,,31/08/2022
74032,withdrawn,,,21/07/2022
74754,withdrawn,,,21/10/2022
74328,withdrawn,,,02/09/2022
74190,withdrawn,,,28/09/2022
74503,withdrawn,,,05/10/2022
85957,withdrawn,,,26/07/2022
78025,withdrawn,,,28/07/2022
73895,withdrawn,,,21/10/2022
75486,withdrawn,,,12/08/2022
74960,withdrawn,,,12/08/2022
77247,withdrawn,,,28/07/2022
75320,withdrawn,,,12/08/2022
74998,withdrawn,,,12/08/2022
75411,withdrawn,,,12/08/2022
76067,withdrawn,,,28/07/2022
75076,withdrawn,,,20/08/2022
75432,withdrawn,,,12/08/2022
75211,withdrawn,,,12/08/2022
75362,withdrawn,,,12/08/2022
75254,withdrawn,,,12/08/2022
75292,withdrawn,,,19/07/2022
75173,withdrawn,,,12/08/2022
