"Field","Code","Label"
"DEGEST","0239","Mountview Academy of Theatre Arts"
"DEGEST","0240","Nazarene Theological College"
"DEGEST","0241","Stratford College London Limited"
"DEGEST","0242","Tech Music Schools"
"DEGEST","0243","The London College UCK"
"DEGEST","0244","Arts Educational Schools"
"DEGEST","0245","Grafton College"
"DEGEST","0246","Mont Rose College of Management and Sciences"
"DEGEST","0247","Norland College"
"DEGEST","0248","ForMission Ltd"
"DEGEST","0249","UK College of Business and Computing"
"DEGEST","0250","London Churchill College Ltd"
"DEGEST","0251","The Academy of Contemporary Music"
"DEGEST","0252","Empire College London Limited"
"DEGEST","0253","East End Computing and Business College Limited"
"DEGEST","0254","Fairfield School of Business Ltd"
"DEGEST","0255","London College of Business Studies"
"DEGEST","0256","London School of Management Education"
"DEGEST","0257","London School of Theology"
"DEGEST","0258","St Mellitus College"
"DEGEST","0260","Nelson College London Ltd"
"DEGEST","0261","Northern College of Acupuncture"
"DEGEST","0262","Pearson College"
"DEGEST","0263","Royal Academy of Dance"
"DEGEST","0264","Regents Theological College"
"DEGEST","0265","SAE Education Limited"
"DEGEST","0266","Slough Borough Council"
"DEGEST","0267","Tottenham Hotspur Foundation"
"DEGEST","0268","Access to Music Limited"
"DEGEST","0269","Academy of Live and Recorded Arts"
"DEGEST","0270","The College of Integrated Chinese Medicine"
"DEGEST","0271","The City College"
"DEGEST","0272","Met Film School Limited"
"DEGEST","0273","Holborn College Limited"
"DEGEST","0274","London Studio Centre"
"DEGEST","0275","West London College of Business and Management Sciences Limited"
"DEGEST","0276","London School of Academics Ltd"
"DEGEST","0277","London Centre of Contemporary Music"
"DEGEST","0278","Regent College"
"DEGEST","0279","London School of Business and Finance (UK) Limited"
"DEGEST","0280","Brit College"
"DEGEST","0281","Futureworks"
"DEGEST","0282","London Bridge Business Academy"
"DEGEST","0283","St Patrick's International College"
"DEGEST","0284","Chicken Shed Theatre Company"
"DEGEST","0285","All Nations Christian College"
"DEGEST","0287","Bristol Baptist College"
"DEGEST","0288","The Cambridge Theological Federation"
"DEGEST","0291","Christie's Education Limited"
"DEGEST","0292","City and Guilds of London Art School"
"DEGEST","0293","Cliff College"
"DEGEST","0294","University College of Estate Management"
"DEGEST","0295","Waverley Abbey College"
"DEGEST","0297","ICOM"
"DEGEST","0298","The Islamic College"
"DEGEST","0299","Istituto Marangoni Limited"
"DEGEST","0300","Kaplan Open Learning"
"DEGEST","0301","KLC School of Design"
"DEGEST","0302","Kogan Academy of Dramatic Arts"
"DEGEST","0304","London Film School Limited"
"DEGEST","0306","Luther King House Educational Trust"
"DEGEST","0307","Open College of the Arts"
"DEGEST","0308","Oxford Business College"
"DEGEST","0309","Point Blank Music School"
"DEGEST","0310","Spurgeon's College"
"DEGEST","0311","St Nicholas Montessori Training Limited"
"DEGEST","0312","West Dean College"
"DEGEST","0313","Oak Hill College"
"DEGEST","0314","The Metanoia Institute"
"DEGEST","0315","The Queen's Foundation for Ecumenical Theological Education"
"DEGEST","0316","The Salvation Army"
"DEGEST","0317","Trinity College Bristol"
"DEGEST","0319","Nova College of Accounting and Business Ltd"
"DEGEST","0320","Matrix College of Counselling and Psychotherapy Ltd"
"DEGEST","0321","The Minster Centre"
"DEGEST","0322","The Sherwood Institute"
"DEGEST","0323","AA School of Architecture"
"DEGEST","0324","Ballet West"
"DEGEST","0326","Court Theatre Training Company Ltd"
"DEGEST","0327","Regents Theological College"
"DEGEST","0328","London School of Commerce & IT Limited"
"DEGEST","0329","Apex College London"
"DEGEST","0330","New College of the Humanities"
"DEGEST","0331","The Markfield Institute of Higher Education"
"DEGEST","0332","Cambridge Arts and Sciences Limited"
"DEGEST","0333","Arden University"
"DEGEST","0334","Grŵp Llandrillo Menai"
"DEGEST","0335","Grŵp NPTC Group"
"DEGEST","0336","Gower College Swansea"
"DEGEST","0337","The University College of Osteopathy"
"DEGEST","0338","London College of Business Sciences"
"DEGEST","0339","Millennium Performing Arts Ltd"
"DEGEST","0340","London College of Creative Media Limited"
"DEGEST","0341","International Business College Manchester Ltd"
"DEGEST","0342","Christ the Redeemer College"
"DEGEST","0343","Waltham International College Limited"
